Date,Platform,Region,Age_Group,Device_Type,Content_Type,Followers,Likes,Comments,Shares,Impressions,Reach,Clicks,Engagement_Rate,Growth_Rate,Hashtag,Post_ID
2024-09-14,Facebook,Australia,25-34,Tablet,Video,86086,5184,1283,1910,904080,858064,3103,7.62,10.25,#Marketing,219
2024-09-04,TikTok,India,18-24,iOS,Reel,148239,2462,2969,2010,1148670,1586486,1331,14.3,7.36,#Trending,220
2024-06-18,TikTok,India,45-54,Android,Short,187153,5708,3268,1110,1743623,1406702,697,9.89,4.02,#Marketing,221
2024-07-25,LinkedIn,UK,18-24,iOS,Video,112284,18153,1833,22,717316,589218,3063,12.19,0.28,#Tech,222
2025-03-16,Twitter,Australia,25-34,Tablet,Carousel,120131,13273,1618,705,604865,233288,3043,14.06,3.74,#Shorts,223
2025-04-16,TikTok,India,45-54,Android,Image,179494,8378,1347,2913,686042,572673,3736,12.61,3.79,#Viral,224
2024-03-04,TikTok,Australia,18-24,iOS,Carousel,142660,11462,1924,991,1726547,533001,1733,14.02,10.47,#Reels,225
2025-04-26,YouTube,UK,25-34,iOS,Reel,182630,6081,463,321,86987,992985,4556,11.53,0.69,#AI,226
2024-01-04,TikTok,India,18-24,Tablet,Reel,26069,8461,4129,2248,1196629,164881,2781,9.36,10.86,#Shorts,227
2024-01-18,TikTok,India,13-18,Web,Image,156258,3638,4878,2345,1171371,850991,2436,6.12,8.66,#AI,228
2024-03-29,YouTube,USA,45-54,Tablet,Image,93144,17396,3047,1584,739296,320944,1139,13.14,3.83,#Reels,229
2024-08-26,LinkedIn,UAE,35-44,Web,Reel,80520,240,3469,351,1379854,129182,456,7.59,8.12,#Viral,230
2024-08-03,LinkedIn,Canada,55+,Android,Short,10937,253,2866,620,1390436,48719,170,16.32,5.2,#Tech,231
2024-07-16,Twitter,Australia,45-54,iOS,Image,187696,8862,4347,2567,292110,260441,464,14.65,11.55,#Marketing,232
2024-04-07,YouTube,UK,13-18,Web,Video,119189,1942,1090,2463,880569,703243,4515,7.26,0.43,#Tech,233
2024-02-20,TikTok,Australia,35-44,Android,Carousel,87709,15366,4954,411,1025280,295336,3410,10.58,1.81,#AI,234
2024-12-23,TikTok,Australia,35-44,iOS,Carousel,36622,14494,2568,2247,976129,122120,2496,5.07,8.2,#AI,235
2024-05-10,Facebook,Australia,18-24,Web,Video,12355,14307,497,317,770261,374774,3582,18.53,11.39,#Reels,236
2024-05-26,YouTube,UK,35-44,iOS,Image,99295,8120,1275,354,827940,1231222,3620,6.31,9.86,#AI,237
2024-10-29,Twitter,Canada,45-54,Web,Short,165764,684,3417,1617,91493,1384413,1115,18.45,4.24,#AI,238
2024-02-15,YouTube,Australia,55+,iOS,Short,19572,15430,3038,908,1453145,447577,755,1.65,3.7,#Trending,239
2025-03-17,Facebook,UAE,55+,Android,Video,30093,16802,2854,2519,1075448,1528302,2015,4.03,1.78,#Digital,240
2025-02-23,YouTube,India,25-34,Web,Reel,174235,5071,3325,497,479955,533050,2305,12.84,5.82,#Tech,241
2024-01-19,Facebook,USA,13-18,iOS,Image,93954,15366,893,1975,35680,100910,4006,11.04,11.55,#Tech,242
2025-04-20,Instagram,Canada,18-24,Web,Image,28614,11626,4834,1757,1984390,1561022,1584,17.18,1.07,#Tech,243
2024-06-23,Facebook,Canada,25-34,Web,Reel,167591,6418,3808,76,1560078,849845,4409,16.13,10.5,#Marketing,244
2025-03-14,TikTok,Australia,55+,Tablet,Reel,149537,7062,997,936,598307,339057,3890,2.08,2.74,#Tech,245
2024-03-14,Facebook,UK,35-44,iOS,Reel,113972,10285,3156,323,1181662,924793,3083,6.08,0.52,#Shorts,246
2025-04-10,LinkedIn,Canada,18-24,Android,Carousel,180923,3596,4411,2465,28201,976072,1187,11.47,0.12,#Shorts,247
2024-03-03,TikTok,USA,18-24,Web,Video,123789,5592,2339,1893,1823860,1209962,1563,4.8,11.01,#Trending,248
2024-07-14,YouTube,USA,13-18,iOS,Short,1795,1415,3765,222,165254,39560,1987,16.47,5.59,#Tech,249
2024-05-19,YouTube,UAE,13-18,Android,Carousel,145488,13603,2542,112,1866341,511138,4021,16.01,7.27,#Viral,250
2025-02-14,LinkedIn,UAE,18-24,Tablet,Short,64417,19615,1106,1855,1589174,649546,2076,6.96,11.67,#Shorts,251
2024-04-02,YouTube,UK,18-24,Tablet,Image,75665,2947,2301,2330,1518422,1183105,672,18.52,5.63,#Marketing,252
2025-04-04,Instagram,Australia,35-44,iOS,Image,196785,13909,4578,1609,1341768,1075357,1193,13.69,4.52,#Digital,253
2025-01-29,Twitter,USA,35-44,iOS,Image,139176,8520,206,2983,1076792,398500,4704,5.95,4.96,#Viral,254
2025-01-22,YouTube,India,55+,Web,Carousel,188073,13510,3176,645,1158687,182071,1575,13.21,9.35,#Tech,255
2024-02-15,Facebook,USA,45-54,iOS,Image,186664,16669,423,2575,1220601,183346,304,8.76,1.23,#Reels,256
2024-05-02,Instagram,UAE,55+,Tablet,Short,183135,12186,4966,1094,488486,18281,243,0.67,8.9,#Viral,257
2025-03-18,TikTok,Canada,18-24,iOS,Short,84098,9519,2712,512,18066,91951,3759,12.21,5.48,#Tech,258
2024-07-06,Facebook,Australia,55+,Android,Reel,181961,9833,3934,1862,1228806,765042,2192,2.73,1.87,#Marketing,259
2025-02-11,TikTok,UAE,35-44,Tablet,Image,91746,3507,2052,196,1680660,1721072,2819,4.83,2.82,#Tech,260
2024-10-08,Facebook,Canada,13-18,Web,Short,17600,9804,2630,271,1534878,1358964,2626,14.97,5.32,#Digital,261
2024-10-10,Instagram,USA,55+,iOS,Image,165259,7306,4779,397,964265,1040437,1635,14.42,11.41,#AI,262
2025-03-17,Instagram,UAE,45-54,Web,Video,115403,5515,1420,134,818717,1330841,3311,0.76,11.66,#Reels,263
2024-04-20,YouTube,UAE,25-34,Android,Carousel,155973,12167,4834,1019,1151033,1292985,844,8.09,6.0,#Tech,264
2024-09-16,Twitter,UK,45-54,Tablet,Video,191978,6234,2506,2312,1513345,1321512,2639,8.67,1.61,#Trending,265
2024-04-09,Facebook,Canada,13-18,Tablet,Reel,197916,4747,3695,1363,26378,1780747,4669,7.43,11.37,#Viral,266
2024-07-25,TikTok,UAE,18-24,Android,Video,71339,11144,1496,2774,1506480,1579753,1254,12.14,8.86,#Digital,267
2024-12-07,Facebook,Canada,25-34,iOS,Image,96661,10129,3804,1631,498857,1663295,1693,7.96,8.85,#Viral,268
2025-03-19,TikTok,UK,45-54,Web,Short,113324,10706,297,380,105682,477280,2823,1.06,0.5,#Marketing,269
2025-03-08,Instagram,India,35-44,iOS,Carousel,125746,10235,869,2941,649123,714682,4206,16.07,7.96,#Viral,270
2024-11-08,Twitter,USA,18-24,Web,Reel,10175,8079,15,2146,301730,1566254,3143,11.04,2.59,#Trending,271
2025-04-16,TikTok,UK,18-24,Web,Reel,62122,7980,870,239,430646,350822,674,1.55,11.53,#Tech,272
2024-12-09,Facebook,UK,45-54,Tablet,Carousel,49545,11444,4046,76,1929792,650233,2541,8.23,0.32,#Shorts,273
2024-04-10,Instagram,Australia,25-34,Tablet,Short,150743,3676,2485,2903,417545,773477,1594,17.32,10.3,#Marketing,274
2025-01-23,YouTube,Canada,25-34,Tablet,Reel,80306,2772,883,2102,662612,776657,1626,10.75,6.6,#Viral,275
2024-11-21,YouTube,USA,35-44,Tablet,Short,151770,17217,3193,2542,1555182,169240,261,14.52,6.54,#Shorts,276
2024-04-22,LinkedIn,UAE,13-18,Tablet,Reel,108057,17976,919,2085,929032,121632,995,12.09,10.74,#Marketing,277
2024-11-08,LinkedIn,UAE,13-18,Tablet,Short,22271,15600,543,2702,217251,287275,3229,11.25,0.2,#Shorts,278
2024-03-01,TikTok,UK,35-44,Android,Image,69114,11102,1271,2897,546428,1767581,2210,15.42,11.7,#Viral,279
2024-05-17,YouTube,USA,25-34,iOS,Reel,167784,19488,869,963,179572,598769,697,13.37,2.34,#Digital,280
2024-07-13,Instagram,UAE,35-44,Web,Video,130728,11400,4446,1476,1784827,722151,4518,3.26,1.39,#Reels,281
2025-04-30,Instagram,Canada,45-54,Android,Reel,36219,9008,3028,470,1855652,791178,4818,18.75,3.41,#Trending,282
2024-06-10,LinkedIn,Canada,55+,Android,Short,150111,7639,1438,1829,1018755,99126,664,16.11,6.82,#Trending,283
2024-03-10,Twitter,USA,55+,Tablet,Carousel,177345,2648,4226,272,1820768,628485,2569,16.46,2.22,#AI,284
2024-05-04,TikTok,UAE,55+,Web,Carousel,161531,558,2892,1702,1815064,39849,793,13.52,3.52,#Shorts,285
2025-01-28,YouTube,India,18-24,iOS,Short,52380,14959,2563,1086,882658,726967,1925,13.56,7.45,#Shorts,286
2024-07-26,TikTok,India,45-54,iOS,Image,153242,17818,3819,2147,380623,339081,1209,2.48,3.28,#Trending,287
2024-09-08,Twitter,UAE,55+,iOS,Video,12039,1247,103,130,609604,559106,4191,9.58,6.73,#Trending,288
2024-01-29,TikTok,UAE,45-54,iOS,Reel,50083,5855,2537,1020,238963,1737721,1898,17.4,3.54,#AI,289
2024-11-18,LinkedIn,UAE,25-34,Android,Reel,21269,5168,4741,838,1669756,1619437,1808,7.94,5.98,#Digital,290
2024-01-11,Twitter,UAE,18-24,iOS,Short,173376,5429,405,2365,1773500,1563931,4136,8.54,5.02,#Shorts,291
2024-08-16,Instagram,Australia,13-18,Tablet,Reel,113302,8094,4984,1720,1401095,1694119,4204,3.75,4.02,#Reels,292
2024-09-16,Facebook,USA,25-34,iOS,Short,184407,10922,4736,2735,147169,809581,3389,2.68,2.47,#Trending,293
2025-03-08,Facebook,Canada,25-34,Web,Short,98467,2672,4058,6,908654,1517730,2727,7.68,4.34,#Digital,294
2024-09-16,Twitter,Australia,55+,Web,Short,193727,7114,3829,353,393183,1241089,1817,17.72,9.98,#Digital,295
2024-10-06,Facebook,UK,45-54,Web,Carousel,3876,12231,3831,1430,113120,1354576,3527,3.68,7.56,#Viral,296
2024-08-07,Twitter,Canada,18-24,Tablet,Reel,65530,13931,411,2589,142504,988803,2897,12.51,1.02,#Trending,297
2024-07-02,YouTube,Australia,45-54,Web,Carousel,123578,3105,3093,2814,1224576,1186355,4174,2.1,7.42,#Reels,298
2024-10-17,LinkedIn,USA,45-54,Tablet,Short,82237,14573,810,43,1108191,1633978,3593,4.31,3.19,#Shorts,299
2024-10-20,Twitter,UAE,55+,Tablet,Short,38718,12169,1505,1698,788665,769658,3728,13.61,3.58,#Shorts,300
2024-11-01,TikTok,UK,18-24,Tablet,Short,133974,2820,1391,1074,890921,1227170,398,13.33,0.16,#Digital,301
2024-12-09,TikTok,USA,25-34,Android,Reel,66708,8181,1571,2752,1469488,738378,4207,18.17,2.12,#Tech,302
2024-12-07,Instagram,UAE,13-18,iOS,Carousel,129799,441,575,2014,393909,461940,4615,3.46,11.69,#Tech,303
2024-06-02,TikTok,USA,25-34,iOS,Reel,10309,7059,1885,1749,1967684,1787839,887,14.07,0.58,#Shorts,304
2025-02-05,LinkedIn,Canada,25-34,Android,Video,156408,12873,1656,2187,998439,46050,122,18.34,3.37,#Trending,305
2024-07-05,Instagram,UAE,25-34,Tablet,Video,182925,4907,4936,995,1351762,1049029,3681,12.68,9.16,#Marketing,306
2024-07-13,TikTok,UAE,18-24,Android,Video,95056,7643,2694,1924,632167,335938,98,12.1,7.34,#Tech,307
2024-10-28,Facebook,India,25-34,Android,Video,113000,5092,3261,2959,1552557,951474,3392,3.48,6.38,#Shorts,308
2024-01-11,YouTube,UK,18-24,Tablet,Short,198525,18348,3077,2021,441559,1677898,4831,4.75,8.32,#AI,309
2024-05-16,TikTok,Canada,18-24,Android,Carousel,171387,16359,4691,1235,447969,1534064,3548,11.64,9.83,#Viral,310
2024-09-02,Facebook,India,13-18,iOS,Image,128795,16354,1096,1908,1658132,1096581,1847,1.61,1.6,#Shorts,311
2025-04-25,YouTube,USA,45-54,Android,Image,159760,17507,383,2086,1572290,259020,3968,18.13,8.1,#Marketing,312
2024-10-08,TikTok,UK,18-24,iOS,Video,88291,18015,1073,1136,331076,399680,287,8.64,5.47,#AI,313
2024-12-21,Twitter,India,13-18,Web,Carousel,196963,17122,3569,2038,1850302,208344,1939,13.39,2.08,#Tech,314
2024-03-08,LinkedIn,Canada,45-54,Web,Reel,107802,173,1032,2598,1443977,1360785,3038,9.43,7.79,#Digital,315
2024-04-25,Instagram,UK,18-24,Android,Reel,76579,16559,3328,2720,820313,330351,2732,15.88,5.16,#AI,316
2024-11-17,Twitter,Australia,35-44,iOS,Video,164702,19077,1314,1537,1150478,217272,4563,12.56,10.91,#Tech,317
2024-01-08,TikTok,UAE,55+,Web,Video,146558,19007,2785,1442,1975253,337107,4700,12.21,2.57,#Digital,318
2025-03-30,TikTok,India,45-54,Web,Reel,34598,10382,3981,941,923007,994462,165,5.8,11.92,#AI,319
2024-12-21,Instagram,Australia,45-54,Android,Image,130790,16367,4567,1861,391317,1699996,514,15.12,0.99,#Viral,320
2024-08-13,YouTube,Canada,25-34,iOS,Image,9616,17826,1023,217,389180,733947,3930,6.38,9.01,#Marketing,321
2024-06-16,Instagram,Australia,45-54,Android,Short,70287,7649,1971,2438,322739,69253,4817,18.61,8.29,#Viral,322
2025-04-11,TikTok,UAE,35-44,iOS,Image,199413,6979,2238,2350,1046558,1707586,1597,12.29,11.06,#Shorts,323
2024-08-08,Facebook,India,13-18,Tablet,Reel,74725,9302,2900,1403,1675737,451608,2271,17.21,0.35,#Shorts,324
2025-02-26,Instagram,Canada,25-34,iOS,Video,13912,17345,26,1135,1163616,560440,3658,12.75,0.79,#Shorts,325
2025-01-24,YouTube,Canada,13-18,iOS,Reel,162676,7425,730,2108,235708,1468249,4305,13.81,7.4,#Viral,326
2024-05-17,TikTok,Australia,55+,iOS,Reel,120815,6990,4346,2512,588566,1779909,1089,0.59,8.53,#AI,327
2024-06-17,Instagram,UK,18-24,Android,Short,191835,16838,3640,1069,360355,1665277,2028,18.39,6.19,#AI,328
2025-05-04,LinkedIn,UK,45-54,Web,Image,115779,13190,1228,1489,872036,1312144,449,17.15,3.41,#Tech,329
2024-11-20,YouTube,UAE,13-18,iOS,Image,157506,13154,642,746,1600856,1725726,4311,18.58,9.92,#Marketing,330
2024-08-03,LinkedIn,India,25-34,iOS,Reel,145390,12559,2686,957,479321,1431667,3156,2.42,7.34,#Digital,331
2024-08-20,Twitter,India,13-18,iOS,Short,131859,7248,2800,625,1871698,1233907,682,2.94,7.22,#Marketing,332
2025-02-09,LinkedIn,UK,13-18,Tablet,Reel,42771,13899,2478,2066,1143083,323259,978,7.85,3.8,#Reels,333
2024-03-30,Twitter,UK,55+,Android,Carousel,19137,5783,3497,2830,810044,847937,1236,3.09,9.72,#Viral,334
2024-11-02,YouTube,UK,13-18,iOS,Carousel,187882,13744,2921,2603,26073,763891,2408,9.89,6.91,#Tech,335
2025-02-24,Instagram,India,18-24,Tablet,Image,131244,9051,810,1251,1713203,1231882,3231,19.46,0.42,#Viral,336
2024-02-14,YouTube,USA,55+,Web,Reel,12953,15526,1110,504,1032918,843722,4581,12.67,9.11,#Tech,337
2024-04-02,Facebook,India,55+,Tablet,Image,86499,9814,1286,2043,1555243,395108,4540,19.32,9.08,#AI,338
2025-04-28,YouTube,UK,25-34,Tablet,Carousel,198939,7204,1791,1286,1630517,685255,2583,8.45,3.32,#Viral,339
2024-12-05,YouTube,USA,18-24,Tablet,Carousel,47577,13137,4743,2741,229012,223107,3507,6.45,0.58,#AI,340
2024-12-03,TikTok,UAE,25-34,iOS,Reel,115643,4062,2505,2551,1314038,647009,1186,3.89,5.42,#Tech,341
2025-05-02,Facebook,Canada,45-54,Web,Short,60356,19724,4392,1103,1884772,1190525,2126,10.06,4.75,#Marketing,342
2025-01-18,Facebook,India,35-44,Web,Image,37460,6693,2460,553,1906635,913092,3112,0.66,7.19,#Shorts,343
2024-04-18,TikTok,India,18-24,Tablet,Reel,93498,14650,1885,2276,1193342,1415378,3315,5.33,6.39,#Reels,344
2024-03-02,YouTube,UK,55+,Android,Carousel,115124,2210,4933,2648,1822932,856380,1966,14.78,4.16,#AI,345
2024-12-26,TikTok,UAE,18-24,Tablet,Image,189622,11723,2120,400,1942133,1311501,1010,14.32,2.37,#Viral,346
2024-09-04,Facebook,USA,35-44,Web,Video,53734,14710,3953,2442,310084,1603247,1578,9.22,3.23,#AI,347
2024-09-04,TikTok,Australia,55+,iOS,Image,49535,19449,4023,2162,413050,1006662,1567,1.01,6.17,#Marketing,348
2024-01-15,TikTok,UAE,35-44,Web,Short,46177,8224,4573,1402,19121,200124,686,16.06,8.04,#Reels,349
2025-04-07,YouTube,Australia,25-34,iOS,Reel,13088,1627,4427,259,1804130,1718350,2614,15.26,10.7,#Marketing,350
2024-01-24,YouTube,USA,25-34,Web,Reel,123544,17746,1544,2282,578827,1059705,682,7.44,8.37,#AI,351
2024-11-14,Facebook,Australia,13-18,iOS,Short,143280,14888,414,1227,1379656,978673,2041,15.41,5.05,#Trending,352
2025-02-16,Twitter,Canada,13-18,Android,Image,109500,13122,2533,1700,400123,1731861,1693,18.66,11.22,#Reels,353
2024-04-27,Facebook,UAE,45-54,iOS,Image,139875,16124,2014,485,170666,1056079,290,18.76,2.48,#Digital,354
2024-03-21,Instagram,Canada,35-44,Tablet,Carousel,141856,4417,1762,288,1260332,1724447,4659,15.03,0.15,#Trending,355
2024-08-28,Twitter,India,35-44,Android,Image,114578,9747,1078,2235,750280,454458,3623,13.73,7.38,#Reels,356
2024-08-26,Instagram,Australia,45-54,iOS,Video,175035,4302,3525,1160,696586,446437,2908,11.19,0.77,#Tech,357
2024-06-01,Facebook,UK,55+,Tablet,Short,126799,10578,520,950,759273,1647839,1591,2.18,10.19,#Digital,358
2024-05-06,Facebook,India,25-34,Web,Carousel,106563,13949,3195,2448,1788209,1341432,2530,3.53,7.2,#Shorts,359
2024-05-23,YouTube,USA,13-18,iOS,Reel,173005,11403,3793,2512,1548201,793700,2632,7.41,8.0,#Digital,360
2025-03-09,Instagram,Canada,13-18,Tablet,Short,69031,1533,2963,2672,1386132,183290,2023,11.99,0.57,#Digital,361
2025-04-09,Facebook,UK,25-34,Web,Reel,137776,8775,482,1601,1288141,372703,4320,11.21,11.54,#Digital,362
2024-05-07,Facebook,UK,35-44,iOS,Short,8836,1889,226,2502,441323,1238202,1844,14.99,6.09,#Viral,363
2025-05-09,Facebook,USA,13-18,iOS,Reel,150147,12475,3956,1832,1455687,1127415,2199,6.84,3.22,#AI,364
2025-05-09,TikTok,India,35-44,iOS,Reel,54137,18531,3101,1858,822101,512157,4682,7.2,3.18,#Shorts,365
2024-03-25,Instagram,India,45-54,Tablet,Carousel,185555,16244,4573,2416,1852534,733733,2658,13.46,10.22,#AI,366
2024-08-23,Facebook,UAE,13-18,Android,Image,51874,16907,290,34,1284895,27172,868,3.24,9.63,#Marketing,367
2024-08-27,LinkedIn,India,55+,Web,Image,185620,455,4171,576,1503961,265651,2799,10.82,5.15,#Digital,368
2024-08-06,LinkedIn,USA,45-54,Android,Short,63450,14357,4843,1365,15962,1270641,3720,8.71,8.1,#Marketing,369
2025-01-08,Facebook,USA,35-44,Android,Carousel,79638,4742,320,1641,112045,1392025,3302,7.33,9.76,#Trending,370
2024-01-05,Twitter,Australia,35-44,Android,Image,105150,11119,2904,2597,87915,1497009,3821,10.6,3.97,#Trending,371
2024-05-29,TikTok,India,55+,Android,Reel,11068,7334,2720,292,35937,887079,453,5.91,11.23,#Tech,372
2024-02-02,Instagram,India,55+,iOS,Short,11327,2826,2638,1054,1724258,878107,2390,6.74,2.87,#Digital,373
2025-02-27,TikTok,India,45-54,Tablet,Image,138604,14445,3507,147,1650977,614844,1075,0.59,4.81,#Digital,374
2025-01-20,TikTok,Canada,35-44,iOS,Video,102219,6980,4799,1123,1993330,327135,912,7.35,8.9,#Reels,375
2024-12-20,YouTube,Canada,18-24,Tablet,Image,151355,16255,4492,1358,1717766,810921,393,0.54,5.92,#Tech,376
2024-04-16,TikTok,India,13-18,Tablet,Reel,113097,7285,3597,2816,276645,698052,4327,5.43,7.53,#Trending,377
2025-04-11,Twitter,India,35-44,Android,Carousel,89272,6768,2659,1397,708933,1602822,3938,9.55,9.19,#Shorts,378
2024-04-13,LinkedIn,India,25-34,Android,Short,39069,13686,2717,217,1094847,1684365,3062,7.35,10.86,#Tech,379
2024-12-12,Instagram,UK,25-34,Android,Reel,136214,5809,2961,171,57137,318348,3337,10.79,5.32,#Trending,380
2024-12-25,YouTube,UK,45-54,Tablet,Reel,65424,2944,171,579,1092772,1207100,1147,15.97,1.93,#Shorts,381
2025-02-23,LinkedIn,UAE,25-34,Web,Video,48743,12635,1618,315,389366,512028,1892,18.62,2.9,#Shorts,382
2024-02-28,Facebook,India,35-44,Web,Reel,50324,16786,270,936,1754430,1193997,4863,7.02,4.52,#AI,383
2025-02-26,Facebook,USA,35-44,iOS,Video,149653,955,1576,2396,16058,1208317,4610,14.91,11.61,#Digital,384
2024-09-14,YouTube,India,55+,Web,Reel,143462,7183,696,1560,953654,512794,3056,13.66,6.59,#Viral,385
2025-05-03,Instagram,Australia,45-54,Android,Image,148219,8231,1516,1033,903735,367255,1642,6.41,3.72,#Reels,386
2025-03-12,YouTube,UK,13-18,Tablet,Short,170452,2720,385,1929,897146,668313,3774,12.62,4.23,#Viral,387
2025-02-05,YouTube,Canada,13-18,Web,Carousel,128040,12868,3125,953,1084533,947600,3898,3.14,9.37,#Tech,388
2024-06-22,Twitter,Canada,13-18,Tablet,Video,105779,3895,1108,1014,16109,1560919,3675,17.72,8.12,#Marketing,389
2024-10-05,Facebook,USA,35-44,Android,Carousel,62543,4523,1696,2388,1098503,525323,692,18.47,9.87,#Reels,390
2024-02-23,Facebook,UAE,25-34,Web,Short,30891,4541,2549,1461,1141192,1293194,893,13.34,11.25,#Trending,391
2025-04-18,LinkedIn,India,45-54,Web,Video,49092,19042,3423,2968,39578,1762140,795,4.67,0.22,#Shorts,392
2024-11-26,Twitter,India,18-24,Tablet,Reel,38739,13433,554,1308,782811,43577,2399,12.4,1.39,#Shorts,393
2025-05-10,Facebook,Australia,55+,Web,Video,136603,974,708,2312,674824,1744920,4967,15.91,1.56,#Digital,394
2025-01-19,Twitter,Canada,35-44,iOS,Carousel,50631,15545,679,1289,247167,821955,2205,7.38,2.78,#Shorts,395
2024-10-18,Instagram,UK,55+,Web,Short,170110,5112,634,2701,202459,1012615,1815,10.36,2.4,#Shorts,396
2025-01-04,Twitter,UK,55+,iOS,Reel,28393,14871,4602,2997,287164,1642940,3399,14.1,9.26,#Reels,397
2024-03-24,Facebook,UK,35-44,Tablet,Image,89389,12379,4861,315,871465,9991,2139,16.02,5.56,#Viral,398
2024-12-16,TikTok,UAE,55+,Tablet,Reel,137085,11132,3316,791,1140303,871516,1408,9.07,11.68,#Shorts,399
2024-03-12,YouTube,Australia,45-54,Tablet,Reel,165342,4901,1363,2727,247013,1156331,3944,18.33,10.1,#Marketing,400
2024-02-09,Instagram,UAE,25-34,Tablet,Image,85891,10143,4603,703,585903,1744366,1080,19.02,2.11,#Reels,401
2024-12-09,TikTok,Australia,18-24,iOS,Reel,146942,4299,4255,752,649933,1262582,1778,14.48,10.67,#AI,402
2024-12-05,Instagram,India,25-34,Web,Reel,107448,13385,3263,2060,73165,1133864,2049,2.4,10.66,#Shorts,403
2025-01-09,Facebook,Australia,55+,Android,Carousel,136690,767,2000,2656,1020153,821400,3565,11.69,2.0,#Reels,404
2024-11-30,TikTok,UK,55+,Android,Image,116480,19602,4199,796,1319915,634556,3451,2.33,8.35,#Viral,405
2024-01-30,Twitter,India,18-24,Android,Video,140188,6468,3724,1445,1115689,999102,4722,7.95,11.48,#Reels,406
2024-01-20,TikTok,Australia,25-34,Tablet,Reel,135846,13478,2138,2968,285868,931221,4500,15.91,7.5,#Viral,407
2024-10-20,YouTube,UAE,13-18,Web,Reel,125221,12737,1965,2399,1727223,1073795,2367,14.51,6.24,#Trending,408
2024-01-02,Facebook,UAE,55+,iOS,Carousel,40161,19811,339,2329,706370,963676,174,11.39,3.04,#Marketing,409
2024-05-13,Instagram,USA,13-18,Web,Reel,3214,3920,2226,861,1652843,1738477,3411,17.85,8.4,#Reels,410
2024-12-27,Instagram,UK,18-24,iOS,Carousel,84858,10597,32,2027,518863,658044,3552,19.12,11.19,#Reels,411
2024-03-22,Instagram,USA,35-44,Android,Carousel,112105,17300,2868,208,1964378,512741,4801,18.68,8.63,#AI,412
2024-06-12,Instagram,Canada,13-18,Web,Reel,109202,14918,1739,2173,1995853,1590045,159,19.84,10.33,#Tech,413
2024-03-18,Instagram,USA,45-54,Tablet,Reel,118747,8643,1099,2307,203021,1542651,1450,7.86,8.66,#Viral,414
2024-01-26,Twitter,UK,55+,Android,Reel,187359,6522,1830,398,1846951,549027,2375,8.91,11.3,#Digital,415
2024-04-07,YouTube,Australia,45-54,Web,Image,194728,6971,1089,705,442239,176491,1611,13.12,4.04,#AI,416
2024-04-27,Twitter,UK,25-34,Android,Short,70031,3899,1516,2296,244420,1611993,3001,6.44,10.37,#Tech,417
2025-04-22,TikTok,India,13-18,Web,Short,83879,4303,931,2739,1210709,18290,3487,18.84,3.45,#Tech,418
2025-03-30,YouTube,India,35-44,Tablet,Carousel,128857,18805,3619,963,1719304,1007957,2745,4.07,4.21,#Tech,419
2025-03-18,Twitter,Canada,25-34,iOS,Image,166770,2504,990,406,1567353,1269752,2798,9.5,9.3,#Trending,420
2025-02-17,Facebook,Canada,45-54,iOS,Image,109300,4972,1730,2104,82482,1358405,4760,10.3,9.24,#Marketing,421
2024-03-22,Instagram,UK,25-34,Tablet,Video,93380,4012,115,2225,769775,716129,4275,2.52,8.09,#Viral,422
2025-02-09,Facebook,USA,18-24,Android,Video,174935,351,62,776,825398,1498736,1998,15.52,9.46,#Digital,423
2024-05-24,YouTube,USA,25-34,iOS,Short,43430,6238,409,2054,46504,308667,4996,16.36,11.05,#Trending,424
2024-10-13,YouTube,USA,25-34,Tablet,Image,84351,18348,3153,195,1041111,94634,2518,13.4,8.15,#Marketing,425
2025-03-15,LinkedIn,UAE,35-44,Web,Reel,81765,13519,2026,2321,1014993,221845,3233,4.39,4.23,#Shorts,426
2025-04-09,Instagram,USA,13-18,iOS,Carousel,96665,160,3939,2577,271503,1157646,705,19.85,1.5,#Shorts,427
2024-06-07,Instagram,Australia,45-54,Android,Video,90958,5083,4321,2690,410065,868141,2421,2.13,8.73,#Reels,428
2024-01-13,YouTube,Canada,55+,Android,Reel,145012,18946,2239,1389,92012,692848,3787,13.04,4.7,#Trending,429
2024-03-31,LinkedIn,USA,25-34,Android,Carousel,70586,10764,3902,1400,825377,1029878,2474,7.14,2.42,#AI,430
2025-04-12,Instagram,India,13-18,Web,Image,61445,12381,4192,2196,834890,539874,1415,3.91,8.67,#Marketing,431
2025-02-04,Instagram,India,45-54,Android,Video,89757,886,1780,341,1678982,114358,201,5.98,5.2,#AI,432
2024-04-02,Facebook,UK,35-44,Android,Video,45286,11367,2254,2720,844931,653570,3054,4.29,1.34,#Shorts,433
2024-02-08,Twitter,UK,25-34,Tablet,Short,157918,14482,1042,627,656238,1478415,3232,1.71,9.57,#AI,434
2024-12-20,LinkedIn,Canada,55+,iOS,Video,143437,6426,1009,2526,1488184,601710,864,16.99,2.44,#AI,435
2024-01-08,TikTok,India,13-18,iOS,Image,93452,2604,3246,2032,329145,1718365,4299,19.69,0.37,#Tech,436
2024-04-16,YouTube,USA,55+,Tablet,Short,131456,6815,3699,2622,1238919,1625833,3214,16.57,3.88,#Shorts,437
2024-06-14,Twitter,Australia,25-34,Tablet,Carousel,182240,6070,70,2983,343763,1736306,1307,5.37,1.98,#Reels,438
